iter	Passed	Remaining
194	1075	4440
195	1085	4451
196	1091	4448
197	1101	4462
198	1111	4472
199	1117	4469
200	1124	4468
201	1129	4462
202	1135	4457
203	1146	4475
204	1151	4464
205	1161	4476
206	1170	4482
207	1176	4478
208	1181	4469
209	1194	4491
210	1199	4484
211	1204	4477
212	1214	4488
213	1218	4476
214	1222	4464
215	1232	4474
216	1248	4503
217	1265	4538
218	1274	4544
219	1286	4562
220	1299	4580
221	1306	4580
222	1313	4576
223	1317	4565
224	1327	4571
225	1332	4563
226	1336	4549
227	1340	4539
228	1358	4575
229	1371	4592
230	1375	4577
231	1388	4596
232	1394	4590
233	1405	4599
234	1426	4642
235	1430	4632
236	1441	4640
237	1448	4636
238	1456	4637
239	1470	4656
240	1481	4665
241	1489	4664
242	1499	4671
243	1503	4657
244	1511	4657
245	1519	4657
246	1524	4646
247	1528	4634
248	1533	4626
249	1541	4623
250	1549	4622
251	1555	4616
252	1558	4602
253	1566	4601
254	1569	4586
255	1573	4572
256	1584	4580
257	1593	4582
258	1608	4601
259	1613	4592
260	1618	4581
261	1625	4577
262	1632	4574
263	1641	4577
264	1652	4582
265	1661	4584
266	1664	4570
267	1669	4560
268	1675	4554
269	1679	4539
270	1685	4534
271	1691	4526
272	1695	4516
273	1702	4511
274	1713	4516
275	1723	4521
276	1728	4512
277	1734	4504
278	1741	4500
279	1749	4499
280	1756	4494
281	1766	4497
282	1772	4491
283	1778	4482
284	1781	4468
285	1787	4461
286	1794	4458
287	1798	4447
288	1804	4439
289	1811	4434
290	1816	4426
291	1829	4436
292	1834	4425
293	1839	4417
294	1848	4417
295	1855	4413
296	1859	4401
297	1863	4390
298	1867	4378
299	1871	4365
300	1874	4352
301	1877	4340
302	1881	4327
303	1887	4322
304	1892	4312
305	1897	4303
306	1902	4294
307	1906	4283
308	1916	4285
309	1921	4277
310	1927	4269
311	1932	4262
312	1939	4256
313	1944	4249
314	1951	4243
315	1956	4235
316	1961	4227
317	1967	4218
318	1973	4212
319	1979	4206
320	1984	4197
321	1989	4188
322	1992	4176
323	1999	4172
324	2003	4160
325	2010	4156
326	2027	4172
327	2038	4176
328	2049	4180
329	2056	4176
330	2068	4180
331	2072	4169
332	2079	4164
333	2085	4159
334	2096	4161
335	2100	4151
336	2107	4146
337	2112	4138
338	2121	4135
339	2126	4127
340	2130	4117
341	2134	4107
342	2138	4096
343	2151	4102
344	2160	4102
345	2168	4098
346	2173	4090
347	2180	4085
348	2187	4081
349	2197	4081
350	2203	4074
351	2215	4078
352	2226	4080
353	2232	4073
354	2239	4068
355	2243	4058
356	2248	4049
357	2256	4046
358	2263	4041
359	2271	4038
360	2277	4030
361	2282	4023
362	2286	4011
363	2290	4002
364	2293	3989
365	2297	3980
366	2301	3970
367	2305	3960
368	2309	3949
369	2319	3948
370	2324	3940
371	2327	3929
372	2330	3918
373	2335	3909
374	2338	3898
375	2342	3887
376	2347	3878
377	2352	3871
378	2361	3868
379	2367	3862
380	2372	3854
381	2379	3849
382	2383	3839
383	2391	3836
384	2396	3828
385	2401	3820
386	2411	3820
387	2416	3811
388	2424	3808
389	2429	3799
390	2435	3794
391	2442	3788
392	2449	3783
393	2456	3777
394	2461	3769
395	2466	3762
396	2472	3754
397	2476	3746
398	2482	3739
399	2490	3735
400	2494	3726
401	2500	3720
402	2509	3716
403	2514	3709
404	2519	3701
405	2524	3693
406	2529	3685
407	2536	3680
408	2542	3673
409	2550	3669
410	2556	3664
411	2561	3655
412	2566	3647
413	2570	3638
414	2576	3631
415	2583	3626
416	2588	3619
417	2594	3612
418	2600	3605
419	2606	3599
420	2612	3593
